GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"v0sGoqLf5C","Squash Courts","Mei Lam Sports Centre","Mei Lam Estate Phase III, Tai Wai, Sha Tin","壁球場","美林體育館","沙田大圍美林邨第三期","SHA TIN","沙田","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","826653.0","836126.0","22.37908","114.1755","2010-01-13 18:42:59"
"nD4LTc5Mzo","Squash Courts","Mui Wo Sports Centre","1/F, Mui Wo Municipal Services Building, 9 Ngan Shek Street, Lantau Island","壁球場","梅窩體育館","大嶼山銀石街9號梅窩市政大廈一樓","ISLANDS","離島","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,GATEBALL COURTS,ACTIVITY ROOMS,FITNESS ROOMS,SQUASH COURTS","籃球場,排球場,羽毛球場,門球場,活動室,健身室,壁球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","814251.0","817675.0","22.26699","113.99648","2010-01-13 18:48:42"
"0ydU9SRptM","Squash Courts","North Kwai Chung Tang Shiu Kin Sports Centre","292 Wo Yi Hop Road, Kwai Chung","壁球場","北葵涌鄧肇堅體育館","葵涌和宜合路292號","KWAI TSING","葵青","BASKETBALL COURTS, VOLLEYBALL COURTS, BADMINTON COURTS,TENNIS COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,網球場,壁球場,乒乓球檯,活動室,健身室","","","","","","","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","826076.4","832218.8","22.37387","114.13756","2010-01-13 18:47:12"
"ZSyCSrj3cj","Squash Courts","Pei Ho Street Sports Centre","5/F Pei Ho Street Municipal Services Building, 333 Ki Lung Street, Sham Shui Po","壁球場","北河街體育館","深水埗基隆街333號北河街市政大廈5字樓","SHAM SHUI PO","深水埗","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","821134.0","834646.0","22.32924","114.16113","2010-01-13 18:43:47"
"JwMz81ecy1","Squash Courts","Peng Chau Sports Centre","Peng Chau Municipal Services Building, 6 Po Peng Street, Peng Chau","壁球場","坪洲體育館","坪洲寶坪街6號坪洲市政大廈","ISLANDS","離島","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","816229.0","821962.0","22.28489","114.03805","2010-01-13 18:41:24"
"jMjijMXhQk","Squash Courts","Po Kong Village Road Sports Centre","120 Po Kong Village Road, Wong Tai Sin","壁球場","蒲崗村道體育館","黃大仙蒲崗村道120號","WONG TAI SIN","黃大仙","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822930.0","838814.0","22.34546","114.20159","2010-01-13 18:46:34"
"beRdrUruU3","Squash Courts","Po Lam Sports Centre","Po Lam Estate, Tseung Kwan O, Sai Kung","壁球場","寶林體育館","西貢將軍澳寶林邨","SAI KUNG","西貢","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","820761.0","844328.0","22.32586","114.25511","2010-01-13 18:45:49"
"RnO78CrxyU","Squash Courts","Po On Road Sports Centre","1/F & 2/F Po On Road Municipal Services Building, 325-329 Po On Road, Sham Shui Po","壁球場","保安道體育館","深水埗保安道325-329號保安道市政大廈2至3樓","SHAM SHUI PO","深水埗","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822172.3","834261.0","22.33862","114.15739","2010-01-13 18:46:13"
"XBDqkvnJD0","Squash Courts","Praya Street Sports Centre","1/F, Cheung Chau Municipal Services Building, 2 Tai Hing Tai Road, Cheung Chau","壁球場","海傍街體育館","長洲大興堤路長洲市政大廈一樓","ISLANDS","離島","BADMINTON COURTS,ACTIVITY ROOMS,SQUASH COURTS,GATEBALL COURTS","羽毛球場,活動室,壁球場,門球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","807585.0","820953.0","22.20682","114.02835","2010-01-13 18:48:30"
"edmvHp5opH","Squash Courts","Quarry Bay Sports Centre","6/F & 7/F, Quarry Bay Municipal Services Building, 38 Quarry Bay Street, Quarry Bay","壁球場","鰂魚涌體育館","鰂魚涌街38號","EASTERN","東區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","816090.0","839866.0","22.28369","114.21179","2010-01-13 18:44:25"
