name,rating,fullname,industry,scale,base,interviewdifficulty,averagesalary
世纪龙信息网络有限(21cn),3.2,世纪龙信息网络有限责任公司,互联网,100-499人,广州,2.3,6300
苏宁,3.2,苏宁云商集团股份有限公司,家电,10000人以上,南京,2.6,3335
央视国际网络,3.2,央视国际网络有限公司,互联网,1000-9999人,北京,2.6,6751
中国人寿保险,3.2,中国人寿保险（集团）公司,保险,10000人以上,北京,2.1,5000
爱奇艺重庆公司,3.1,北京爱奇艺科技有限公司重庆分公司,互联网,1000-9999人,重庆,2.2,5300
棒谷科技有限公司,3.1,广州棒谷科技股份有限公司,互联网,1000-9999人,广州,2.3,6400
深圳任子行网络技术有限公司,3.1,任子行网络技术股份有限公司,互联网,20-99人,深圳,2.7,7500
掌门一对一,3.1,上海掌小门教育科技有限公司,其他技能培训,10000人以上,上海,2.1,9500
爱回收,3,上海悦易网络信息技术有限公司,互联网,500-999人,上海,2.5,6400
京东扬州分公司,3,江苏京东信息技术有限公司扬州分公司,互联网,10000人以上,扬州,2.4,22100
客如云,3,客如云科技（北京）股份有限公司,互联网,500-999人,北京,2.3,9500
美菜网,3,北京云杉世界信息技术有限公司,互联网,10000人以上,北京,2.3,7400
中国网库,3,北京网库信息技术股份有限公司,互联网,1000-9999人,北京,2.3,4659
中企动力,3,中企动力科技股份有限公司,互联网,1000-9999人,北京,2.1,4686
中软国际,3,中软国际有限公司,IT服务/系统集成,1000-9999人,北京,2.4,7250
京东云平台,2.9,北京京东叁佰陆拾度电子商务有限公司,互联网,1000-9999人,北京,3,21100
南京中软国际,2.9,中软国际科技服务有限公司南京分公司,互联网,10000人以上,南京,2.2,10600
江苏百拓信息技术有限公司,2.8,江苏百拓信息技术有限公司,互联网,100-499人,无锡,1.9,23200
宝德,2.7,宝德科技集团股份有限公司,互联网,100-499人,深圳,2,4580
第一视频,2.7,第一视频集团有限公司,互联网,100-499人,香港,2.2,6636
马上消费金融,2.6,马上消费金融股份有限公司,互联网,1000-9999人,重庆,2.5,10800
寺库网,2.5,北京寺库商贸有限公司,互联网,500-999人,北京,2.2,9000
大连新生代科技有限公司,1.5,大连新生代科技有限公司,互联网,20-99人,大连,2.2,23200
